,name,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,albumName
13,Phir Se Ud Chala___Mohit Chauhan,Mohit Chauhan,Phir Se Ud Chala,1919,2020-07-20 02:38:00,0.647,0.656,11,-8.632,1,0.0354,0.657,0.000163,0.343,0.453,119.965,audio_features,268833,4,Rockstar
14,Ay Pilla - Telugu___Haricharan,Haricharan,Ay Pilla - Telugu,31549,2020-07-20 02:38:00,0.504,0.554,1,-12.085,1,0.0356,0.347,1.36e-05,0.0963,0.386,140.005,audio_features,253773,4,Love Story
15,Aao Milo Chalo___Pritam,Pritam,Aao Milo Chalo,2082,2020-07-20 02:38:00,0.504,0.787,7,-5.948,0,0.0605,0.412,0.0,0.323,0.49,114.772,audio_features,325934,4,Jab We Met
16,Hosanna___A.R. Rahman,A.R. Rahman,Hosanna,80130,2020-07-20 02:38:00,0.571,0.802,7,-7.201,1,0.0391,0.28,6.43e-05,0.0497,0.596,85.97,audio_features,331400,4,Ekk Deewana Tha (Original Motion Picture Soundtrack)
17,Ik Junoon (Paint It Red)___Vishal Dadlani,Vishal Dadlani,Ik Junoon (Paint It Red),2560,2020-07-20 02:39:00,0.79,0.848,2,-7.798,1,0.0508,0.364,0.00147,0.148,0.641,127.034,audio_features,299119,4,Zindagi Na Milegi Dobara
18,"Halka Halka (From ""Fanney Khan"")___Sunidhi Chauhan",Sunidhi Chauhan,"Halka Halka (From ""Fanney Khan"")",3996,2020-07-20 02:39:00,0.691,0.796,7,-4.778,1,0.0387,0.0495,0.0,0.333,0.541,127.985,audio_features,247382,4,"Halka Halka (From ""Fanney Khan"")"
19,Aas Paas Khuda___Rahat Fateh Ali Khan,Rahat Fateh Ali Khan,Aas Paas Khuda,2011,2020-07-20 02:39:00,0.556,0.706,5,-5.709,1,0.0336,0.335,1.8e-06,0.137,0.726,80.008,audio_features,319116,4,Anjaana Anjaani
20,"Jigidi Killaadi (From ""Pattas"")___Anirudh Ravichander",Anirudh Ravichander,"Jigidi Killaadi (From ""Pattas"")",16779,2020-07-20 02:39:00,0.858,0.786,1,-4.359,0,0.0495,0.0727,5.92e-06,0.0539,0.511,95.002,audio_features,218915,4,"Jigidi Killaadi (From ""Pattas"")"
21,Jo Bhi Main___Mohit Chauhan,Mohit Chauhan,Jo Bhi Main,273500,2020-07-20 02:43:00,0.558,0.565,11,-7.561,0,0.0286,0.58,1.91e-05,0.125,0.394,135.986,audio_features,273500,4,Rockstar
22,Yeh Aaina___Shreya Ghoshal,Shreya Ghoshal,Yeh Aaina,1754,2020-07-20 02:46:00,0.552,0.428,2,-9.433,1,0.0346,0.607,0.00125,0.115,0.197,131.745,audio_features,311368,3,Kabir Singh
23,Kal Ki Hi Baat Hai___Pritam,Pritam,Kal Ki Hi Baat Hai,2647,2020-07-20 02:46:00,0.562,0.368,1,-9.198,1,0.027,0.973,0.000164,0.105,0.25,107.914,audio_features,240534,4,Chhichhore
24,Pee Loon___Pritam,Pritam,Pee Loon,2894,2020-07-20 02:46:00,0.656,0.721,8,-5.064,1,0.0364,0.277,0.000139,0.188,0.883,83.95,audio_features,285687,4,Once Upon A Time In Mumbaai
25,Intezaar___Mithoon,Mithoon,Intezaar,3171,2020-07-20 02:46:00,0.46,0.466,2,-7.721,1,0.0463,0.642,0.0,0.067,0.144,118.884,audio_features,267520,4,Intezaar
26,Moh Moh Ke Dhaage (Male)___Anu Malik,Anu Malik,Moh Moh Ke Dhaage (Male),1415,2020-07-20 02:46:00,0.634,0.344,2,-11.011,1,0.0288,0.741,6.09e-05,0.111,0.409,128.0,audio_features,322900,4,Dum Laga Ke Haisha
27,Thalli Pogathey___A.R. Rahman,A.R. Rahman,Thalli Pogathey,2355,2020-07-20 02:46:00,0.582,0.748,9,-6.029,0,0.0349,0.108,0.0,0.0909,0.148,98.228,audio_features,268056,3,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack)
28,Jiyein Kyun___Pritam,Pritam,Jiyein Kyun,2191,2020-07-20 02:46:00,0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,audio_features,264963,4,Dum Maaro Dum
29,Sham___Amit Trivedi,Amit Trivedi,Sham,1236,2020-07-20 02:46:00,0.722,0.288,4,-10.767,1,0.0444,0.827,1.06e-05,0.12,0.502,119.899,audio_features,284627,4,Aisha (Original Motion Picture Soundtrack)
30,Pashmina___Amit Trivedi,Amit Trivedi,Pashmina,1146,2020-07-20 02:46:00,0.46,0.384,0,-7.931,1,0.0313,0.706,0.000773,0.146,0.302,79.877,audio_features,283111,4,Fitoor
31,Safarnama___Lucky Ali,Lucky Ali,Safarnama,1183,2020-07-20 02:46:00,0.541,0.512,9,-10.203,1,0.0291,0.74,0.000528,0.162,0.203,120.036,audio_features,251402,4,Tamasha
32,Taarefon Se___Amit Trivedi,Amit Trivedi,Taarefon Se,7369,2020-07-20 02:46:00,0.605,0.437,2,-9.023,1,0.0293,0.76,0.00112,0.111,0.301,125.906,audio_features,278239,4,Dear Zindagi (Original Motion Picture Soundtrack)
33,Iktara___Amit Trivedi,Amit Trivedi,Iktara,1759,2020-07-20 02:46:00,0.609,0.531,7,-7.18,1,0.0267,0.412,0.000324,0.291,0.381,80.012,audio_features,254720,4,A Decade of Love
34,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)___Mithoon",Mithoon,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",1420,2020-07-20 02:46:00,0.523,0.557,7,-7.799,1,0.0293,0.813,0.000581,0.0958,0.196,111.766,audio_features,374205,4,Shivaay
35,Dil Bechara___A.R. Rahman,A.R. Rahman,Dil Bechara,2237,2020-07-20 02:46:00,0.883,0.334,2,-10.651,0,0.0426,0.159,0.000158,0.12,0.747,106.02,audio_features,163426,4,Dil Bechara (Original Motion Picture Soundtrack)
36,Kun Faya Kun___A.R. Rahman,A.R. Rahman,Kun Faya Kun,155692,2020-07-20 02:46:00,0.362,0.378,1,-11.008,1,0.0329,0.679,0.0,0.091,0.575,87.549,audio_features,470500,4,Rockstar
37,Maskhari___A.R. Rahman,A.R. Rahman,Maskhari,1082,2020-07-20 02:47:00,0.75,0.685,7,-9.021,1,0.036,0.164,0.00128,0.107,0.722,100.003,audio_features,195008,4,Dil Bechara (Original Motion Picture Soundtrack)
38,Tune Jo Na Kaha___Pritam,Pritam,Tune Jo Na Kaha,1584,2020-07-20 02:47:00,0.314,0.475,5,-12.38,1,0.0838,0.779,0.00539,0.34,0.312,78.992,audio_features,310073,4,New York
39,Maguva Maguva - Telugu___Sid Sriram,Sid Sriram,Maguva Maguva - Telugu,9744,2020-07-20 02:48:00,0.467,0.561,7,-7.734,0,0.0315,0.81,0.0116,0.114,0.573,179.938,audio_features,250667,3,Vakeel Saab
40,Maruvaarthai___Sid Sriram,Sid Sriram,Maruvaarthai,2631,2020-07-20 02:48:00,0.56,0.729,8,-6.528,1,0.0303,0.0117,0.000136,0.105,0.259,127.998,audio_features,356719,4,Enai Noki Paayum Thota (Original Motion Picture Soundtrack)
41,Tere Naina___Shankar Mahadevan,Shankar Mahadevan,Tere Naina,5282,2020-07-20 02:48:00,0.758,0.377,6,-10.224,0,0.0511,0.544,7.65e-05,0.0904,0.624,139.932,audio_features,255721,4,Chandni Chowk To China
42,Arivum Anbum___Kamal Haasan,Kamal Haasan,Arivum Anbum,2324,2020-07-20 02:48:00,0.499,0.696,0,-7.329,1,0.0541,0.328,1.12e-06,0.0906,0.369,159.953,audio_features,311625,4,Arivum Anbum
43,High On Love___Yuvan Shankar Raja,Yuvan Shankar Raja,High On Love,2640,2020-07-20 02:49:00,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929,audio_features,240169,4,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)"
44,"Nira - From ""Takkar""___Sid Sriram",Sid Sriram,"Nira - From ""Takkar""",1414,2020-07-20 02:49:00,0.674,0.767,1,-5.049,0,0.0469,0.139,1.39e-06,0.208,0.56,88.0,audio_features,304773,4,"Nira (From ""Takkar"")"
45,"Neenga Mudiyuma (From ""Psycho (Tamil)"")___Ilaiyaraaja",Ilaiyaraaja,"Neenga Mudiyuma (From ""Psycho (Tamil)"")",4995,2020-07-20 02:49:00,0.498,0.24,0,-12.618,0,0.0327,0.863,0.00792,0.258,0.157,128.01,audio_features,287258,3,"Neenga Mudiyuma [From ""Psycho (Tamil)""]"
46,Manasa Manasa - Telugu___Sid Sriram,Sid Sriram,Manasa Manasa - Telugu,2181,2020-07-20 02:49:00,0.653,0.577,4,-6.858,1,0.0374,0.379,9.31e-05,0.104,0.358,113.108,audio_features,253412,4,Most Eligible Bachelor
47,Visiri___Darbuka Siva,Darbuka Siva,Visiri,17844,2020-07-20 02:49:00,0.589,0.346,7,-8.742,1,0.0302,0.656,3.29e-05,0.131,0.54,114.843,audio_features,311127,4,"Visiri (From ""Enai Noki Paayum Thota"")"
48,"Poova Thalaiyaa (From ""Vaanam Kottattum"")___Sid Sriram",Sid Sriram,"Poova Thalaiyaa (From ""Vaanam Kottattum"")",2217,2020-07-20 02:49:00,0.69,0.554,10,-7.559,1,0.0506,0.0785,0.0,0.358,0.311,87.507,audio_features,190000,4,"Poova Thalaiyaa (From ""Vaanam Kottattum"")"
49,Thaarame Thaarame___Sid Sriram,Sid Sriram,Thaarame Thaarame,6336,2020-07-20 02:49:00,0.594,0.53,0,-6.491,1,0.0343,0.677,0.0,0.108,0.32,139.878,audio_features,228214,3,Kadaram Kondan
50,"Yaaradiyo - From ""Gorilla""___Sam C.S.",Sam C.S.,"Yaaradiyo - From ""Gorilla""",2455,2020-07-20 02:49:00,0.692,0.64,4,-6.472,0,0.0585,0.383,0.0,0.178,0.316,95.979,audio_features,228585,4,Gorilla (Original Motion Picture Soundtrack)
51,Kurumba - Father's Love___D. Imman,D. Imman,Kurumba - Father's Love,1297,2020-07-20 02:49:00,0.424,0.703,2,-5.131,0,0.0492,0.361,0.0,0.0838,0.466,90.177,audio_features,267686,4,Tik Tik Tik (Original Motion Picture Soundtrack)
52,Kannaana Kanney___Sid Sriram,Sid Sriram,Kannaana Kanney,2853,2020-07-20 02:49:00,0.416,0.586,2,-8.83,1,0.0479,0.483,0.0,0.12,0.502,195.092,audio_features,267341,3,Wunderboy Anirudh
53,Anbae Peranbae___Sid Sriram,Sid Sriram,Anbae Peranbae,1183,2020-07-20 02:49:00,0.685,0.561,0,-4.185,0,0.0298,0.481,0.00181,0.16,0.312,90.023,audio_features,269333,4,NGK (Original Motion Picture Soundtrack)
54,Ennadi Maayavi Nee___Santhosh Narayanan,Santhosh Narayanan,Ennadi Maayavi Nee,3906,2020-07-20 02:49:00,0.55,0.246,0,-12.503,0,0.03,0.834,0.00279,0.0977,0.218,119.836,audio_features,251000,3,VadaChennai (Original Motion Picture Soundtrack)
55,Adiga Adiga___Sid Sriram,Sid Sriram,Adiga Adiga,1435,2020-07-20 02:49:00,0.554,0.291,10,-10.474,1,0.0298,0.923,0.0,0.105,0.138,129.874,audio_features,212233,3,Top Singer'S Playlist
56,Vachindamma___Sid Sriram,Sid Sriram,Vachindamma,1820,2020-07-20 02:49:00,0.822,0.6,3,-6.308,1,0.0326,0.487,1.74e-05,0.104,0.796,123.922,audio_features,250403,4,Geetha Govindam
57,"Emo Emo - From ""Raahu""___Praveen Lakkaraju",Praveen Lakkaraju,"Emo Emo - From ""Raahu""",1878,2020-07-20 02:49:00,0.266,0.539,0,-7.841,0,0.0402,0.858,0.00021,0.338,0.557,199.845,audio_features,242413,3,"Emo Emo (From ""Raahu"")"
58,Unkoodave Porakkanum (Brother’s Version)___Sid Sriram,Sid Sriram,Unkoodave Porakkanum (Brother’s Version),3400,2020-07-20 02:50:00,0.541,0.801,2,-5.686,1,0.0393,0.185,0.0,0.127,0.376,83.008,audio_features,260826,4,Namma Veettu Pillai (Original Motion Picture Soundtrack)
59,Maacho___A.R. Rahman,A.R. Rahman,Maacho,2431,2020-07-20 02:50:00,0.821,0.55,7,-7.504,1,0.0675,0.0134,0.000801,0.122,0.737,128.052,audio_features,275956,4,Mersal (Original Motion Picture Soundtrack)
60,Maate Vinadhuga___Sid Sriram,Sid Sriram,Maate Vinadhuga,1699,2020-07-20 02:50:00,0.631,0.582,11,-9.367,0,0.0536,0.216,0.0,0.17,0.493,159.959,audio_features,296220,4,Taxiwaala
61,"Unna Nenachu (From ""Psycho (Tamil)"")___Ilaiyaraaja",Ilaiyaraaja,"Unna Nenachu (From ""Psycho (Tamil)"")",3157,2020-07-20 02:50:00,0.331,0.235,4,-13.816,0,0.0411,0.891,2.98e-06,0.107,0.252,82.511,audio_features,275504,4,"Unna Nenachu [From ""Psycho (Tamil)""]"
62,"Kadhaippoma (From ""Oh My Kadavule"")___Leon James",Leon James,"Kadhaippoma (From ""Oh My Kadavule"")",5671,2020-07-20 02:50:00,0.575,0.577,7,-6.674,1,0.0432,0.451,3.98e-06,0.264,0.157,90.012,audio_features,282208,4,"Kadhaippoma (From ""Oh My Kadavule"")"
63,Prema O Premaa___Sid Sriram,Sid Sriram,Prema O Premaa,2717,2020-07-20 02:50:00,0.389,0.591,0,-3.61,0,0.045,0.438,0.000418,0.217,0.32,179.992,audio_features,270000,4,NGK (Telugu) [Original Motion Picture Soundtrack]
64,Inkem Inkem Inkem Kaavaale___Sid Sriram,Sid Sriram,Inkem Inkem Inkem Kaavaale,2671,2020-07-20 02:50:00,0.811,0.537,4,-5.508,1,0.0478,0.412,1.3e-06,0.083,0.57,136.943,audio_features,266715,4,Expectional Music Of Gopi Sundar
65,"En Iniya Thanimaye - From ""Teddy""___Sid Sriram",Sid Sriram,"En Iniya Thanimaye - From ""Teddy""",2378,2020-07-20 02:50:00,0.478,0.746,7,-5.134,1,0.0503,0.0906,0.0,0.108,0.497,169.867,audio_features,272265,4,"En Iniya Thanimaye (From ""Teddy"")"
66,Kulirudha Pulla___Sid Sriram,Sid Sriram,Kulirudha Pulla,2728,2020-07-20 02:50:00,0.398,0.278,9,-11.409,0,0.0331,0.904,4.18e-05,0.096,0.159,139.571,audio_features,298733,3,"Kulirudha Pulla (From ""Oththa Seruppu"")"
67,Adiye___A.R. Rahman,A.R. Rahman,Adiye,1821,2020-07-20 02:50:00,0.387,0.519,2,-5.684,1,0.079,0.411,0.0,0.0843,0.166,45.989,audio_features,301973,4,Kadal (Original Motion Picture Soundtrack)
68,"Pularaadha (From ""Dear Comrade"")___Sid Sriram",Sid Sriram,"Pularaadha (From ""Dear Comrade"")",5831,2020-07-20 02:50:00,0.561,0.308,7,-9.495,1,0.0251,0.845,5.56e-06,0.212,0.442,97.961,audio_features,261572,4,"Pularaadha (From ""Dear Comrade"")"
69,OMG Ponnu___Sid Sriram,Sid Sriram,OMG Ponnu,2141,2020-07-20 02:50:00,0.809,0.714,11,-9.555,0,0.0342,0.00169,0.136,0.0573,0.514,130.011,audio_features,284224,4,Sarkar (Tamil) [Original Motion Picture Soundtrack]
70,Uyire___Sid Sriram,Sid Sriram,Uyire,2866,2020-07-20 02:50:00,0.265,0.474,6,-8.51,0,0.055,0.65,1.95e-06,0.102,0.186,78.768,audio_features,199922,4,"Uyire (From ""Gauthamante Radham"")"
71,Nee Tholaindhaayo___Leon James,Leon James,Nee Tholaindhaayo,6135,2020-07-20 02:50:00,0.559,0.577,5,-6.975,1,0.0336,0.602,2.24e-05,0.108,0.176,135.087,audio_features,222873,4,Kavalai Vendam (Original Motion Picture Soundtrack)
72,Raajali___Blaaze,Blaaze,Raajali,1777,2020-07-20 02:50:00,0.691,0.825,5,-7.523,0,0.0369,0.00685,0.00601,0.182,0.677,140.017,audio_features,250477,4,2.0 [Tamil] (Original Motion Picture Soundtrack)
73,"Madhu Pole (From ""Dear Comrade"")___Sid Sriram",Sid Sriram,"Madhu Pole (From ""Dear Comrade"")",1583,2020-07-20 02:50:00,0.549,0.304,7,-9.578,1,0.0269,0.853,5.37e-06,0.202,0.476,97.905,audio_features,261503,4,"Madhu Pole (From ""Dear Comrade"")"
74,"Vaa Vaa Penne - From ""Uriyadi 2""___Sid Sriram",Sid Sriram,"Vaa Vaa Penne - From ""Uriyadi 2""",2629,2020-07-20 02:50:00,0.513,0.534,4,-8.538,0,0.039,0.647,0.0,0.153,0.245,149.94,audio_features,294865,3,"Vaa Vaa Penne (From ""Uriyadi 2"")"
75,Po Po Yen___Sid Sriram,Sid Sriram,Po Po Yen,1584,2020-07-20 02:54:00,0.627,0.537,0,-8.588,0,0.0295,0.363,5.55e-05,0.114,0.34,115.011,audio_features,246987,3,Po Po Yen - Single
76,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,219818,2020-07-20 02:57:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
77,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,57051,2020-07-20 03:34:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
78,Rosemary's Baby Theme___Miranda Boumedin,Miranda Boumedin,Rosemary's Baby Theme,175513,2020-07-20 08:54:00,0.836,0.103,7,-15.612,0,0.0712,0.911,0.75,0.108,0.0776,96.033,audio_features,175513,3,Relaxing Music
79,Shaking off Deadwood___Lunng Fern,Lunng Fern,Shaking off Deadwood,111190,2020-07-20 08:55:00,0.455,0.111,9,-20.453,0,0.0423,0.99,0.857,0.119,0.242,91.943,audio_features,111191,4,Reclaiming Silence
80,Autumn Winds___Gus Cleese,Gus Cleese,Autumn Winds,106795,2020-07-20 08:57:00,0.626,0.17,0,-11.261,1,0.0497,0.979,0.906,0.152,0.554,133.618,audio_features,106796,4,Autumn Winds
81,The Colour of the Sky___Whalebone,Whalebone,The Colour of the Sky,160433,2020-07-20 09:00:00,0.736,0.294,4,-11.3,0,0.0799,0.786,0.89,0.102,0.315,147.933,audio_features,160433,4,The Colour of the Sky
82,Bathe___Realizer,Realizer,Bathe,129111,2020-07-20 09:02:00,0.409,0.134,4,-18.145,1,0.0474,0.877,0.874,0.112,0.143,80.502,audio_features,129111,5,Bathe
83,Enchanted___Maneli Jamal,Maneli Jamal,Enchanted,178000,2020-07-20 09:05:00,0.402,0.276,9,-14.419,0,0.0402,0.951,0.861,0.0917,0.34,123.813,audio_features,181500,4,Soul Odyssey
84,Svalbard___Julyan Brynn,Julyan Brynn,Svalbard,199831,2020-07-20 09:08:00,0.676,0.175,7,-11.793,0,0.0409,0.972,0.855,0.114,0.141,84.685,audio_features,199832,4,Floating Hearts
85,Northern___Daniel Kaede,Daniel Kaede,Northern,136363,2020-07-20 09:11:00,0.553,0.894,0,-4.673,1,0.0471,5.24e-05,0.478,0.103,0.12,124.994,audio_features,368700,4,Northern Lights
86,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,24797,2020-07-20 09:12:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
87,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,221785,2020-07-20 10:31:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
88,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,2641,2020-07-20 10:32:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
89,Maruvaarthai___Sid Sriram,Sid Sriram,Maruvaarthai,200248,2020-07-20 10:37:00,0.56,0.729,8,-6.528,1,0.0303,0.0117,0.000136,0.105,0.259,127.998,audio_features,356719,4,Enai Noki Paayum Thota (Original Motion Picture Soundtrack)
90,All You Need To Know (feat. Calle Lehmann)___Gryffin,Gryffin,All You Need To Know (feat. Calle Lehmann),29604,2020-07-20 10:38:00,0.53,0.729,0,-6.019,1,0.0376,0.00699,0.0,0.103,0.219,139.929,audio_features,238338,4,Gravity
91,I Love You's___Hailee Steinfeld,Hailee Steinfeld,I Love You's,65111,2020-07-20 10:38:00,0.681,0.783,8,-4.997,1,0.18,0.0262,0.0,0.206,0.323,106.901,audio_features,216084,4,Half Written Story
92,Ophelia___The Lumineers,The Lumineers,Ophelia,160097,2020-07-20 10:41:00,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,audio_features,160097,4,Cleopatra
93,Gloria___The Lumineers,The Lumineers,Gloria,0,2020-07-20 10:42:00,0.523,0.714,11,-6.021,1,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,audio_features,216120,4,III
94,Ho Hey___The Lumineers,The Lumineers,Ho Hey,0,2020-07-20 10:42:00,0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,audio_features,163133,4,The Lumineers (Deluxe Edition)
95,Left For Denver___The Lumineers,The Lumineers,Left For Denver,25172,2020-07-20 10:42:00,0.737,0.118,5,-11.78,1,0.0338,0.908,5.21e-05,0.102,0.453,88.732,audio_features,196653,4,III
96,Pretty Paper___The Lumineers,The Lumineers,Pretty Paper,0,2020-07-20 10:42:00,0.452,0.267,8,-9.084,1,0.0407,0.856,0.129,0.114,0.148,159.613,audio_features,170493,3,Pretty Paper
97,It Wasn't Easy To Be Happy For You___The Lumineers,The Lumineers,It Wasn't Easy To Be Happy For You,1068,2020-07-20 10:42:00,0.765,0.373,2,-5.321,1,0.0302,0.854,0.0,0.0949,0.379,89.099,audio_features,214067,4,III
98,Elouise___The Lumineers,The Lumineers,Elouise,1155,2020-07-20 10:42:00,0.631,0.637,0,-10.039,1,0.0519,0.752,7.4e-05,0.0982,0.504,180.123,audio_features,146960,3,The Lumineers (Deluxe Edition)
99,Everyone Requires A Plan___The Lumineers,The Lumineers,Everyone Requires A Plan,0,2020-07-20 10:42:00,0.585,0.0769,9,-11.618,1,0.0389,0.947,0.0255,0.141,0.132,75.908,audio_features,160560,4,Cleopatra (Deluxe)
100,Submarines___The Lumineers,The Lumineers,Submarines,1705,2020-07-20 10:42:00,0.67,0.522,7,-9.933,1,0.0468,0.916,0.107,0.302,0.6,190.187,audio_features,163240,3,The Lumineers (Deluxe Edition)
101,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,7848,2020-07-20 12:01:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
102,Reunion___Maneli Jamal,Maneli Jamal,Reunion,177923,2020-07-20 12:04:00,0.584,0.358,9,-8.736,1,0.107,0.163,0.732,0.0896,0.427,179.897,audio_features,207860,4,Reunion
103,I. Brudmarsch från Hassela___Traditional,Traditional,I. Brudmarsch från Hassela,159053,2020-07-20 12:11:00,0.407,0.116,9,-19.764,0,0.0502,0.994,0.923,0.0806,0.525,101.794,audio_features,159053,4,Folk(ish)!
104,Stumbling Home___Lunng Fern,Lunng Fern,Stumbling Home,182750,2020-07-20 12:14:00,0.469,0.0961,9,-16.166,0,0.107,0.985,0.909,0.114,0.0651,92.167,audio_features,182750,4,Stumbling Home
105,Breakthrough___Maneli Jamal,Maneli Jamal,Breakthrough,203600,2020-07-20 12:17:00,0.868,0.728,6,-3.338,0,0.11,0.0439,0.0,0.0975,0.616,112.006,audio_features,217651,4,Breakthrough
106,Hold On___Tom Vanstiphout,Tom Vanstiphout,Hold On,140093,2020-07-20 12:20:00,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,audio_features,170813,4,5 Golden Rings
107,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,6356,2020-07-20 12:59:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
108,Gleam___Maneli Jamal,Maneli Jamal,Gleam,264102,2020-07-20 12:59:00,0.223,0.133,11,-13.971,1,0.041,0.964,0.855,0.0839,0.0382,76.469,audio_features,272240,4,Ambient Sketchbook
109,Samajavaragamana___Sid Sriram,Sid Sriram,Samajavaragamana,213832,2020-07-20 13:02:00,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,audio_features,219818,3,Ala Vaikunthapurramuloo
